type,stem,answer,explanation,difficulty,option_A,option_B,option_C,option_D,option_E
single,在天翼云中，可以用过弹性伸缩进行服务的灵活配置，下列关于弹性伸缩中错误的是（）,A,,1,伸缩组在冷却时间内，会拒绝由定时策略触发的伸缩活动,可以定时或根据告警触发伸缩,可以限定下限以保证伸缩组的性能,可以限定上限以限制伸缩组资源使用,
single,企业中，为了提高数据的安全性，可以采用备份的方式来保护企业数据，下列关于备份方式LAN-BASE的描述不正确的是（）,D,,1,需要单独维护备份业务，增加管理和维护的难度,先配置一台服务器作为备份管理服务器,数据的传输是以局域网络为基础,指令流经过LAN网络，数据流不经过LAN网络,
single,RMAN是如下哪一个数据库的备份与恢复管理器？,D,,1,MongoDB,SQL Server,MySQL,Oracle,
single,对于小型企业用户来说节约成本是首要考虑因素，在大多数情况下，这种备份大多是采用服务器上自带的磁带机或备份硬盘，而备份操作往往也是通过手工操作的方式进行的，这种备份方式是（）,C,,1,Server-free,LAN-free,Host-base,LAN-base,
single,天翼云中虚拟私有云可以对云中资源进行网络隔离，其中包括各种功能不同的组件，用于连接不同网段的组件是(）,A,,1,路由表,NAT网关,VPN网关,安全组,
single,天翼云中提供了丰富的存储供用户选择，下列场景中不适用于使用分布式关系型数据库进行保存的是（）,C,,1,电商,零售,数据备份,O2O,
single,天翼云针对用户服务器上云迁移推出了多种迁移方式，其中关于镜像迁移方式的说法中，错误的是（）,B,,1,冷迁移是通过工具直接镜像被迁移的服务器主机,冷迁移可以保证数据一致性,热迁移是通过镜像迁移工具进行迁移,热迁移可以保持数据实时同步,
single,天翼云为用户提供了多种多样的存储服务，下列属于天翼云提供的块存储服务是（）,C,,1,云空间,对象存储,云硬盘,弹性文件服务,
single,虚拟私有云可以在天翼云中对资源进行网络隔离，下列关于虚拟私有云中的概念，私有网络、子网、路由表说法，正确的是（）,A,,1,子网创建好后，网段可以进行修改，修改后的网段必须属于VPC内,一个VPC内的子网可以进行通信,子网的网段要在VPC的网段内部,不同VPC的子网不能进行通信,
single,开发和运营IT系统是一件非常复杂的工资，涉及到各个模块开发者、开发测试团队之间的协作，紧耦合到解耦合转变，下列描述属于解耦合优势的是（）,A,,1,系统解耦后，架构更加模块化，缩小故障范围,由于解耦合是分散的，所以不支持大规模计算,系统解耦后，故障影响范围大,多个耦合模块变更成本高,
single,数据容灾技术，又称为异地数据复制技术，具有多种实现的技术方式，下列不属于异地数据复制技术实现方式的是（）,C,,1,同步传输方式,半同步传输方式,半异步传输方式,异步传输方式,
single,虚拟私有云是天翼云中的功能组件。下列关于虚拟私有云划分原则说法不正确的是()。,C,,1,小企业建议使用一个VPC,单个VPC跨可用区部署能够实现高可用和故障隔离,单个VPC跨区域使用可以实现区域互通,要求性能高建议使用一个VPC,
single,用户在天翼云中使用虚拟私有云来部署简单的WEB应用，下列关于天翼云中虚拟私有云说法不正确的是（）,A,,1,用户只能通过配置NAT网关的方式才能让私有网络中的WEB应用对互联网中的用户提供服务,用户可以像使用普通网络一样使用私有网络，部署简单的web应用，如博客、网站和日志系统,通过安全组和网络ACL，来保证WEB应用的安全,当流量突增时，可以启用弹性负载均衡应对,
single,由于安全原因，数据库的IP地址有时不能暴露在公网上，但是选择专线网络进行数据库迁移，成本又高。这种情况下，您可以选用数据库复制服务提供的备份迁移，通过将源数据库的数据导出成备份文件，并上传至什么中，然后恢复到目标数据库？,B,,1,弹性云主机,对象存储,云硬盘,云空间,
single,在天翼云监控中，云监控支持的三种告警状态不包括下面哪个？,D,,1,数据不足,正常,告警,异常,
single,下列关于存储和缓存的说法，错误的是什么?,B,,1,缓存主要是为了弥补存储系统在复杂业务场景下的不足,数据落地存储一般在SSD或者硬盘中，其吞吐量小但是延迟低,缓存一般以内存为载体，速度高但是容量低,热数据一般放在缓存中，这样数据请求时，不必访问低速的最终存储，转而访问高速的缓存，这样可以减少响应耗时,
single,RMAN是Oracle数据库用于备份、还原和恢复的一个工具，下列不属于RMAN备份内容的是（）,C,,1,数据库文件,控制文件,口令文件,归档日志,
single,天翼云应用层的弹性设计不包括下面什么?,B,,1,天翼云弹性伸缩服务,分布式放据库,天翼云弹性云主机,天翼云负载均衡服务,
single,云上安全架构设计原则不包括下面的什么?,D,,1,可以从各方面面临的安全威胁入手，进而得到需要落地的防护技术,安全是一项系统工程，适用木桶原则,没有绝对的安全,进行安全设计时，主要根据业务实际需要进行设计，一般不考虑预算和成本,
single,容灾和备份都可以在一定程度上提高企业的数据安全，下面关于容灾和备份的说法中，正确的是（）,B,,1,备份系统的恢复时间是几秒钟甚至几分钟,备份只能恢复出备份时间点以前的数据,容灾系统只能保护数据,容灾系统主要针对人为误操作、病毒感染等因素,
single,在天翼云的服务中，弹性负载均衡可以支持同区域高可用，对于不同区域的高可用，可以选择的服务是（）,C,,1,云专网,对等连接,DNS,AS,
single,在天天翼云中提供了多种不同的CDN加速产品，以满足不同用户不同场展的各种需求。下面关于CDN的说法中，错误的是(),C,,1,CDN是中国电信依托分布于全国的网络节点塔建的一层虚似网络,解决因跨运营商访问、跨地域访问、服务器带宽及性能带来的访问延迟问题,前端用户请求通过CDN服务响应，对于可以满足的响应发至后端弹性负载均衡ELB,CDN将源站内容分发至最接近用户的节点，使用户可就近获取所需内容,
single,高性能计算HPC是利用并行处理和互联技术将多个计算节点连接起来，提供高效、可靠、快速运行的计算平台，可以提供比普通台式计算机或工作站更高的性能，以解决科学、工程或商业中复杂的问题。下列不属于天翼云HPC解决万案主要应用场景的是()。,C,,1,图形CAD工作站,紧耦合高性能计算,对安全和监管高要求的金融、证券等行业,松耦合高性能计算,
single,在上云的整体迁移过程中，迁移策略设计属于下面哪个步骤?,E,,1,监控优化,调研分析,测试验证,迁移实施,规划设计
single,用户使用弹性负载均衡服务来提高天翼云中网站的可用性，当前有3台配置相同(CPU/内存)的后端服务器，此时新增1台后端服务器，希望能够快速地让第4台后端服务器的负载提升，降低另外3台后式服务器的压力，可以选择的负载方式是()。,D,,1,轮询,源地址,目的地址,最小连接数,
single,在天翼云异地容灾架构中，当故障发生时可以实现秒级切换，及时恢复业务。实现该场景需要使用到的前端产品是()。,B,,1,ELB,DNS解析,DRS,路由器,
single,弹性公网IP是天翼云为云中资源提供的公网地址，可以用于多种不同场合。下列关于弹性公网IP的说法中不正确是()。,A,,1,不支持与NAT网关实例的动态绑定和解绑,是可以独立申请的公网IP地址,不能同时绑定在多台弹性云主机中,弹性IP地址与天翼云云账户相关联，而不是与某个弹性云主机相关联,
single,可靠性指系统无故障运行的概率，是衡量服务质量的一个非常重要标准。下列关于服务可靠性说法中不正确的是()。,C,,1,把平均无故障时间和平均维修时间作为衡量高可用性的标准,平均故障修复时间(MTTR),高可用性的目的是通过大量的服务器集群来保证业务100%不间断的持续化运行,平均无故障时间(MTTF),
single,可用区(Zone)是指天翼云在同一区域内电力和网络互相独立的物理数据中心。下列属于可用区特性的是(),D,,1,实例不能迁移至其他可用区,实例只能在指定区域下指定可用区,同一个区域的可用区只能通过外网实现互通,可用区的作用是故障隔离,
single,云监控服务是天翼云为用户提供的监控服务，可以更详细地了解云资源使用情况，方便用户及时调整。下列不属于云监拉服务弹性云主机监控指标的是(),B,,1,内存使用率,访问者,CPU使用率,磁盘写速率,
single,分布式消息服务的优势可以从多个方面考虑，但不包括下面哪个方面?,D,,1,灵活性,集成,性能,".配置简易性<br class=""markdown_return"">E 、可靠性",
single,两个同一区域内的VPC之间使用私有IP地址进行内网通信时，需要使用到下面什么天翼云服务?,A,,1,对等连接,NAT网关,虚拟私有云,VPN连接,
single,用户在天翼云中选购弹性云主机的时候，主要根提具体的应用场景和产品架构进行综合考虑，选择具体的产品规格，如果用户的使用场景是web应用、开发测试环境以及小型数据库，最适合选择的是()。,C,,1,高计算型,内存优化型,通用型,通用计算增强型,
single,天翼云硬盘不支持下面哪项操作?,A,,1,减容,挂载,广容,备份,卸载
single,在天翼云中为用户提供了GPU加速型弹性云主机，下列关于这种类型云主机说法正确的是()。,A,,1,能够提供优秀的浮点计算能力,提供计算加速型P1和P2V以供用户选择,用户购买的G1型弹性云服务器可以在后续变更规格,主要用于逻辑控制和串行运算等场景,
single,针对弹性云主机能够自动替换不健康实例，自动增加或减少云主机、操作灵活，从而保障业务灵活可用，避免损失，需要结合的服务类型是()。,B,,1,对象存储,弹性伸缩,弹性负载均衡,弹性云主机,
single,服务器安全卫士产品规格分为三种:基础版、企业版、旗舰版。下列什么功能是只有旗舰版才支持的功能?,B,,1,资产清点,应用风险,暴力破解,安全补丁,
single,在企业传统IP架构中，下列哪个架构设计是更好的利用二八定律，即80%的业务访问集中在20%的数据上，使得整个业务架构设计更有合理?,E,,1,分布式文件系统和分布式数据库,应用与数据库分离,应用服务器集群,数据库读写分离,使用缓存以改善性能
single,在天翼云中，弹性网卡是一种虚拟的网络接口，可以将云主机绑定弹性网卡接入网络。下列关于弹性网卡说法不正确的是()。,D,,1,可以给云主机绑定弹性网卡,一台云服务器可以绑定多个弹性网卡,可以在多个云主机间自由迁移,可以同时给多台弹性云主机使用,
single,大数据场景的应用越来越多，在天翼云中提供了多种数据库用于存放各种类型数据，其中可以存放大数据类的非关系型数据库是（）,A,,1,HBASE,MySQL,SQL Server,PostGre SQL,
single,天翼云高可用架构在设计的时候分为多个不同层次，下列关于应用层高可用设计的说法中，错误的是（）,B,,1,弹性伸缩可以自动替换不健康实例,应用层主要处理的是业务逻辑，应用层高可用主要针对的是有状态类应用进行设计,天翼云中相同区域的不同可用区是通过内网进行链接,弹性负载均衡可以自动剔除不健康的云主机以实现业务的可用性,
single,在数据库备份业务中，为了保证数据的一致性，需要先冻结应用，保证备份期间正在运行的应用程序能完成所有操作（如数据库事务），并将缓存中的数据刷新到新磁盘中，这种备份方式是（）,C,,1,增量备份,崩溃一致性备份,应用一致性备份,差异备份,
single,在天翼云中，对象存储系统为客户提供一种海量、弹性、高可用、高性价比的存储服务，下列关于对象存储系统说法不正确的是（）,D,,1,具有纠删码冗余,可大规模在线扩展,具有多副本提高数据安全,服务设计可用性为100%,
