type,stem,answer,explanation,difficulty,option_A,option_B,option_C,option_D,option_E
single,"某视频直播公司釆用阿里云弹性 伸缩(Auto Scaling)来实现动态添加或者减少云服务器 ECS 实例， 以应对业务量的变化。 由于该公司的系统刚上线不久,没有历史数据做参考，同时也不能预估业务量 的变化，他们 希望通过 ECS 实例资源的使用情况(比如 CPU 利用率、系统负载 Load 等)来弹性伸缩 计 算资源。他们应该选择以下哪种伸缩模式？",A,没有历史数据做参考，即无法确定需要伸缩的 ECS 的数量，所以选择动态模式最合 适。,1,动态模式,定时模式,固定数量模式,lazy 模式,
multiple,您在创建阿里云的云服务器实例时，以下 配置是在购买云服务器时需要指定的。,"B,C,D,E","上层部署的应用是在阿里云云服务器 ECS 购买了以后才需要部署的，内存，地 域,CPU,镜像 都是需要在购买的时候指定的。",1,上层部署的应用,内存,地域,CPU,镜像
single,"某社区网站每天的 PV 量高达 2000 万次,应用程序部署在阿里云的云服务器 ECS 实 例上，日志记 录在单台 ECS 实例的数据盘。现在业务部门提出新的需求，网站的访问日志 要保存 24 个月,并且在 需要的时候可以按照日期快速下载，单台 ECS 实例的数据盘扩到 最大容量，可以保存存三个月的日 志数据。您认为在该系统上增加阿里云的 品 可以 一次性解决日志的保存问题。",C,,1,对象存储 OSS,归档存储(Archive Storage),云数据库 RDS,内容分发网络 CDN,
multiple,"海量文件存储和快速访问是阿里云对象存储 OSS 的核心功能。B 公司在一年前基于 OSS 构建了一 个公司内部的视频分享站点(未做任何程序开发)，管理员定期上传各种培训 视频,2000 名员工在休息 时间可以进行下载和学习。为了鼓励全员一起丰富视频资源 库,B 公司想扩展站点功能，增加员工自 助上传、评价、播放次数统计、排行榜、视频分 类、热门推荐等互动功能，假设您是 B 公司的架构 师，您可以推荐公司使用阿里云的 品实现升级方案。","A,B","划重点：2000 名员工在休息时间可以进行下载和学习。自助上传、评价、播放次数 统计、排 行榜、视频分类。所以需要使用用到 ECS 部署网站,同事需要用到数据库 RDS 存储员工的文件数据。 主要题目中没有提到视频在线播放，所以不需要用到音视频转码服 务（MTS）-",1,云服务器 ECS,云数据库 RDS,加密 DNS 服务(HTTPDNS),音视频转码服务(MTS),
single,阿里云的弹性伸缩主要可以提供的功能，下面说法错误的是？,A,"弹性伸缩是可以根据客户业务需求横向扩展 ECS 实例的容量，即自动增加和减少 ECS 实例, 但是伸缩组内不限制 ECS 实例的数量。",1,根据客户业务需求横向扩展 ECS 实例的容量，即自动增加和减少 ECS 实例，数量是有 限制的。,支持 SLB 负载均衡配置:在增加或减少 ECS 实例时，自动向 SLB 实例中添加或移除相 应的 ECS 实例,支持 RDS 访问白名单:在增加或减少 ECS 实例时，自动向 RDS 访问白名单中添加或移 出该 ECS 实例的 IP,"多模式兼容，可同时配置定时、动态、自定义、固定、健康模式,可通过 API 方便对接 外在监控 系统",
single,阿里云弹性伸缩（Auto Scaling）中，可以配置伸缩规则来定义具体的扩展和收缩操作。以 下 是伸缩规则。,A,伸缩规则（ScalingRule）定义了具体的扩展或收缩操作，例如加入或移出 N 个实例。,1,加入或移出 3 个云服务器 ECS 实例,配置周期性任务，每天 13:00 点定时触发,自动创建云服务器 ECS 实例时，使用的配置以及镜像,是否将不健康的云服务器 ECS 实例移出,
single,阿里云的负载均衡 SLB 可以把用户请求分发到多台云服务器 ECS 实例上去，其中“加 权轮询模 式”的转发策略是指,A,加权轮询:权重值越高的后端服务器，被轮询到的次数（概率）也越高。,1,将访问请求按照后端云服务器 ECS 实例的权重依次分发,将访问请求分发给目前负载最低的后端云服务器 ECS 实例,将等待最久的访问请求分发给后端云服务器池中处理能力最强的 ECS 实例,将优先级最高的访问请求优先分发给后端云服务器 ECS 实例,
single,"阿里云负载均衡服务 SLB 支持配置域名或者 URL 转发策略,将来自不同域名或者 URL 的请求转 发给不同的 ECS 处理,关于域名或者 URL 转发策略支持的协议，以下说 法正确的是 。",C,只有 7 层监听（HTTPS/HTTP 协议）支持配置 URL 转发策略。,1,只有 4 层监听（TCP 和 UDP 协议）支持配置转发策略,只有 7 层监听（HTTP 协议）支持配置转发策略,只有 7 层监听（HTTP 和 HTTPS 协议）支持配置转发策略,4 层监听（TCP 和 UDP 协议）和 7 层监听（HTTP 和 HTTPS 协议）都支持配置转发策略,
multiple,阿里云负载均衡服务 SLB 提供性能保障型实例，该类型实例提供了可保障的性能指标， 那么它的 关键指标有 。,"A,B,E",,1,最大连接数-Max Connection,每秒新建连接数-Connection Per Second (CPS),连接响应超时时间 Connection Response timeout,连接响应超时重试次数 Connection Response timeout retry times,每秒查询数-Query Per Second (QPS)
single,阿里云弹性伸缩(Auto Scaling)中，创建完成伸缩组后，为了设置用于弹性伸缩的云服务 器 ECS 实例的规格，需要定义 。,A,在创建伸缩配置时，您可以指定 ECS 实例的参数，例如实例规格、镜像类型、存储 大小、登 录实例用的密钥对等。,1,伸缩配置,伸缩规则,定时任务,伸缩活动,
